uid,sid
2427,14
2427,38
2427,41
2427,62
2427,71
2427,86
2427,303
2427,306
2427,111
2427,276
5543,25
5543,38
5543,41
5543,50
5543,65
5543,76
5543,306
5543,128
5543,165
5543,230
5543,235
2718,3
2718,5
2718,6
2718,11
2718,281
2718,16
2718,25
2718,38
2718,45
2718,50
2718,59
2718,62
2718,70
2718,76
2718,82
2718,91
2718,97
2718,101
2718,306
2718,139
2718,168
2718,171
2718,212
2718,230
2718,277
2718,549
8119,2
8119,6
8119,11
8119,12
8119,13
8119,281
8119,15
8119,16
8119,20
8119,24
8119,25
8119,32
8119,38
8119,41
8119,45
8119,48
8119,50
8119,59
8119,62
8119,70
8119,71
8119,74
8119,75
8119,76
8119,81
8119,84
8119,91
8119,303
8119,95
8119,99
8119,101
8119,104
8119,306
8119,111
8119,115
8119,314
8119,126
8119,139
8119,148
8119,151
8119,157
8119,159
8119,165
8119,167
8119,168
8119,171
8119,175
8119,184
8119,189
8119,197
8119,207
8119,387
8119,219
8119,223
8119,230
8119,231
8119,502
8119,261
8119,272
8119,273
8119,276
6949,3
6949,16
6949,21
6949,25
6949,38
6949,62
6949,65
6949,71
6949,73
6949,74
6949,75
6949,76
6949,87
6949,99
6949,314
6949,148
6949,151
6949,325
6949,184
6949,341
6949,219
6949,223
6949,230
2271,2
2271,13
2271,16
2271,25
2271,45
2271,293
2271,71
2271,82
2271,306
2271,314
2271,139
2271,143
2271,148
2271,151
2271,159
2271,168
2271,175
2271,197
2271,207
2271,219
2271,231
2271,261
2271,537
2497,3
2497,11
2497,20
2497,75
2497,126
2497,321
2497,190
2497,212
2497,230
2497,243
2497,276
2497,277
8038,3
8038,6
8038,11
8038,281
8038,16
8038,32
8038,38
8038,50
8038,59
8038,62
8038,70
8038,82
8038,85
8038,87
8038,303
8038,97
8038,99
8038,111
8038,139
8038,159
8038,168
8038,171
8038,230
8038,243
8038,273
8038,277
1416,2
1416,3
1416,5
1416,6
1416,13
1416,15
1416,16
1416,20
1416,21
1416,24
1416,25
1416,38
1416,41
1416,59
1416,62
1416,70
1416,71
1416,82
1416,85
1416,91
1416,95
1416,101
1416,306
1416,106
1416,126
1416,133
1416,148
1416,151
1416,157
1416,159
1416,165
1416,168
1416,339
1416,207
1416,213
1416,219
1416,230
1416,235
1416,422
1416,502
1416,273
7148,2
7148,3
7148,5
7148,6
7148,11
7148,12
7148,13
7148,281
7148,14
7148,15
7148,16
7148,20
7148,21
7148,24
7148,25
7148,32
7148,38
7148,41
7148,43
7148,45
7148,48
7148,50
7148,293
7148,59
7148,62
7148,65
7148,70
7148,71
7148,74
7148,75
7148,76
7148,81
7148,82
7148,84
7148,85
7148,86
7148,87
7148,91
7148,303
7148,95
7148,97
7148,99
7148,104
7148,306
7148,106
7148,111
7148,115
7148,314
7148,126
7148,128
7148,130
7148,133
7148,139
7148,143
7148,148
7148,151
7148,157
7148,159
7148,325
7148,165
7148,167
7148,333
7148,168
7148,171
7148,339
7148,184
7148,341
7148,189
7148,190
7148,207
7148,212
7148,213
7148,387
7148,219
7148,223
7148,230
7148,231
7148,235
7148,422
7148,243
7148,261
7148,805
7148,272
7148,273
7148,537
7148,544
7148,276
7148,277
7148,549
7148,590
5680,5
5680,6
5680,281
5680,21
5680,25
5680,38
5680,59
5680,62
5680,65
5680,70
5680,71
5680,306
5680,314
5680,133
5680,190
5680,207
5680,219
5680,230
5680,546
5680,549
8719,2
8719,6
8719,12
8719,13
8719,281
8719,15
8719,24
8719,25
8719,38
8719,43
8719,45
8719,50
8719,293
8719,65
8719,70
8719,71
8719,73
8719,76
8719,81
8719,84
8719,87
8719,91
8719,303
8719,95
8719,97
8719,104
8719,306
8719,111
8719,121
8719,314
8719,126
8719,130
8719,133
8719,139
8719,143
8719,148
8719,151
8719,321
8719,159
8719,325
8719,167
8719,168
8719,171
8719,339
8719,341
8719,189
8719,190
8719,197
8719,207
8719,213
8719,219
8719,223
8719,230
8719,231
8719,261
8719,273
8719,537
8719,546
8719,276
1297,3
1297,5
1297,6
1297,281
1297,14
1297,15
1297,16
1297,25
1297,38
1297,45
1297,50
1297,62
1297,70
1297,71
1297,74
1297,75
1297,76
1297,81
1297,84
1297,86
1297,91
1297,303
1297,306
1297,314
1297,126
1297,128
1297,133
1297,139
1297,148
1297,151
1297,165
1297,168
1297,175
1297,189
1297,207
1297,213
1297,230
1297,422
1297,261
1297,537
1297,276
5631,3
5631,5
5631,6
5631,11
5631,12
5631,281
5631,14
5631,15
5631,16
5631,20
5631,25
5631,38
5631,41
5631,43
5631,45
5631,48
5631,50
5631,59
5631,62
5631,65
5631,70
5631,71
5631,73
5631,74
5631,75
5631,76
5631,81
5631,82
5631,84
5631,85
5631,86
5631,87
5631,91
5631,303
5631,95
5631,97
5631,99
5631,101
5631,306
5631,106
5631,111
5631,115
5631,126
5631,128
5631,130
5631,133
5631,139
5631,143
5631,148
5631,321
5631,159
5631,325
5631,165
5631,168
5631,339
5631,341
5631,189
5631,190
5631,197
5631,207
5631,212
5631,213
5631,219
5631,223
5631,230
5631,235
5631,422
5631,261
5631,805
5631,513
5631,272
5631,273
5631,537
5631,546
5631,276
5631,277
5631,549
5631,590
5631,554
519,32
519,74
519,303
519,133
519,159
519,165
519,168
519,230
519,273
519,277
7302,25
7302,62
7302,70
7302,76
7302,84
7302,86
7302,87
7302,303
7302,314
7302,133
7302,148
7302,190
7302,197
7302,219
2431,5
2431,6
2431,71
2431,75
2431,82
2431,126
754,25
754,38
754,59
754,62
754,303
754,314
754,151
754,157
754,219
754,276
754,549
4290,2
4290,5
4290,11
4290,13
4290,14
4290,16
4290,21
4290,59
4290,74
4290,76
4290,82
4290,87
4290,91
4290,97
4290,99
4290,106
4290,111
4290,126
4290,165
4290,189
4290,207
4290,230
4290,276
9222,5
9222,281
9222,16
9222,25
9222,38
9222,41
9222,65
9222,95
9222,148
9222,151
9222,159
9222,167
9222,190
9222,212
9222,219
9222,273
6852,104
6852,306
6852,314
6852,143
6852,167
6852,207
6852,223
1998,25
1998,148
1998,165
1998,197
1998,387
1998,219
1998,273
1998,544
1998,549
937,3
937,281
937,14
937,45
937,65
937,159
937,165
937,167
937,207
937,230
937,231
937,261
937,590
8227,38
8227,70
8227,223
1769,3
1769,5
1769,11
1769,281
1769,14
1769,16
1769,41
1769,50
1769,74
1769,76
1769,81
1769,82
1769,303
1769,126
1769,130
1769,139
1769,151
1769,159
1769,167
1769,168
1769,339
1769,207
1769,230
1769,502
1769,273
1769,554
6464,3
6464,11
6464,281
6464,25
6464,38
6464,45
6464,65
6464,70
6464,71
6464,325
6464,165
2157,11
2157,13
2157,16
2157,25
2157,38
2157,70
2157,168
2157,207
2157,212
2157,805
2157,273
3855,314
3855,148
1419,5
1419,6
1419,12
1419,25
1419,45
1419,62
1419,65
1419,71
1419,74
1419,84
1419,87
1419,95
1419,314
1419,148
1419,325
1419,171
1419,261
1419,277
7129,2
7129,5
7129,6
7129,13
7129,281
7129,25
7129,32
7129,38
7129,45
7129,62
7129,65
7129,70
7129,71
7129,73
7129,74
7129,82
7129,84
7129,86
7129,87
7129,91
7129,303
7129,99
7129,306
7129,111
7129,121
7129,314
7129,128
7129,133
7129,139
7129,148
7129,157
7129,159
7129,168
7129,230
7129,231
7129,243
7129,261
6904,15
6904,16
6904,24
6904,38
6904,62
6904,65
6904,87
6904,314
6904,126
6904,128
6904,157
6904,159
6904,165
6904,168
6904,207
6904,230
6904,277
6904,554
2959,2
2959,3
2959,5
2959,6
2959,11
2959,12
2959,13
2959,281
2959,14
2959,15
2959,16
2959,24
2959,25
2959,38
2959,41
2959,43
2959,45
2959,48
2959,50
2959,293
2959,59
2959,62
2959,65
2959,70
2959,71
2959,73
2959,74
2959,75
2959,76
2959,81
2959,82
2959,84
2959,85
2959,86
2959,87
2959,91
2959,303
2959,95
2959,97
2959,101
2959,104
2959,111
2959,115
2959,121
2959,314
2959,126
2959,128
2959,130
2959,133
2959,139
2959,143
2959,148
2959,151
2959,321
2959,157
2959,159
2959,325
2959,165
2959,167
2959,333
2959,168
2959,171
2959,175
2959,339
2959,184
2959,341
2959,190
2959,197
2959,207
2959,213
2959,387
2959,219
2959,223
2959,230
2959,231
2959,235
2959,422
2959,502
2959,261
2959,272
2959,273
2959,544
2959,546
